2216627192	E8qsNpqQ5	柠檬黄莲味中秋	NULL	Lemon flavor berbetine Mid Autumn Festival
2217146427	E8K8mfGYS	🌑♫我正在收听这首单曲:乔任梁-和你在一起♫ (来自 听手机QQ音乐，QQ等级加速升！)	NULL	I was on the listen to this song: Qiao Renliang - together with you on the mobile phone QQ (from listening to music, accelerate the rise of QQ level! )
2217204940	E7WB8A0NV	家长专用表情包，哈哈哈哈，宝宝终于解放啦，出去吃大餐[兔子][兔子]	NULL	The parents of special expression package, ha ha, the baby finally liberated, go out to eat the dinner. The rabbit rabbit []
2217474081	E83Rpb5r0	就这个了！	NULL	I'll take this one.
2218382693	E8rlGwn9O	从楷书到行书 从长笺到短信 千山万水 你还在我梦里	NULL	From the script to the script from the long line to the message you are still in my dream, numerous hills and streams
2218583421	E8EH2dVPV	早	NULL	Good morning!
2218998552	E8J6w9xdd	这个叫“临湘”的地方，竟有如此多的刁民。。。	NULL	This place called Linxiang, there were so many people...
2219520713	E8ISbAsem	 苏三省一出现，剧情立马就觉得紧张了。再讲一个鬼故事，明天周天要上班，下周要上六天班[拜拜][拜拜][拜拜]。	NULL	Once the three provinces of the Soviet Union, the story immediately felt nervous. Tell a ghost story tomorrow, Sunday to work, to work six days. Bye bye bye bye bye bye [] next week.
2219607427	E8GXCnJBc	553027380千里莺啼绿映红，水村山郭酒[钱]旗风。南朝四百八十寺，多少楼台烟雨中。——《杜牧- 江南绝句》	NULL	553 billion 27 million 380 thousand yingti green Yinghong, water village Guo mountain wine [money] hatakaze. In the four hundred and eighty temple, how many loutai yanyu. - "Du Mu Jiangnan poems"
2230582083	E8qmOdKKX	论一枚月饼的自我修养[鼓掌][害羞][哈哈]	NULL	On a cake of self-cultivation [Applause] [] [] shy haha
2231061904	E7TTn0ZNL	中秋节快到了，公司给我们每人发了一箱梨。EXM？！[快银]	NULL	The Mid Autumn Festival is approaching, the company gave us each a box of pears. EXM?! [silver]
2231277565	E8wkXkZTV	『走在衰败路上的中国试点』	NULL	"Walking in the decline of the road of China's pilot"
2231549895	E8yky69J3	段义和炸死情妇的视频为啥突然火了？	NULL	Duan Yi and the mistress of the video why suddenly a fire?
2233206941	E8BhCc32E	心疼那些问他们「你最近看到过的让你印象深刻的一段话」要去朋友圈文章或者口水歌歌词里面搜索一番的同志们。	NULL	Distressed those who asked them, "you have seen a lot of the last to let you have a deep impression of a paragraph of words" to go to a circle of friends or saliva song lyrics search inside the comrades who search.
2235680594	E8ETvugqv	找了一圈！我的御用手提袋被我妈拿去当垃圾袋了！	NULL	Find a circle! My queen handbag when my mother was taken to the garbage bags!
2235728983	E8QwviKDd	朴奉汃[爱你] 	NULL	Portsmouth Fengbin [love you]
2236019027	E8JZlvINH	脾气不好 / 生人勿扰	NULL	Bad temper / person not faze
2236489921	E8Qblxbf2	 从去年七周年就开始期待8的最喜欢8的我家山神大人美乖妹子李演员大势歌手U八周年粗卡[鲜花][鲜花][心][心][瑜伽二][瑜伽二]	NULL	Look forward to the beginning of the 8 Love 8 of my good girl beautiful mountain adult actor singer U trend eight anniversary card [] [] [coarse flowers flowers [] [] [] two heart heart yoga yoga two] from the last seven years
2236855485	E8ABzBI5t	咬的我心里痒痒的。。 	NULL	Bite my heart itch..
2237635063	E84huqT6d	准备做一个以撒的mod。	NULL	Be ready to make a mod of isaac.
2238193974	E8Fdzz4qW	我们永远都不知道明天和意外哪个会先来	NULL	We never know what tomorrow and the accident will come first.
2238280565	E8ID2d6nR	我即将迎来最难熬的国庆长假。我内心焦灼。[微笑]十天的宿舍独处～你们谁出去玩可以带上我么[挖鼻]	NULL	I am about to have the most difficult National Day holiday. My heart anxious. [smile] ten days of dormitory alone to you who go out to play with me, "dig nose"
2239126894	E7X3Xtcfg	你丑你先睡，我美我直播！[直播ing]，点此进入&gt;&gt; 	NULL	You ugly you go to sleep, I'm beautiful I live! Live ing], click here to enter &gt; &gt;
2239329230	E7W2brTb9	[巴士][巴士][巴士] 🙄🙄🙄 [贬低]🏻[贬低]🏻[贬低]🏻 [猪头][猪头][猪头] 🙈🙈🙈 	NULL	[] [] [] bus bus bus [] [] to belittle [] [] [. []] PigHead PigHead PigHead
2239903281	E8Qu2eqAu	微博发多了矫情[失望]	NULL	Micro-blog made more hypocritical [disappointed]
2239969014	E8EJFDHZk	哎 世事无常	NULL	Hey the world is uncertain
2240395874	E8n3DE5aY	中秋完美了 龙队真人真得太好看了[心][心][心] 	NULL	The Mid Autumn Festival perfect dragons true too good-looking. [] [heart heart heart]
2240738972	E8zaModK4	分享  山崎まさよし 的歌曲《One more time, One m...》（分享自）	NULL	Share ~ national songs by Yamazaki. "One more time, One M..." (share)
2240869924	E8JAvETzP	这赛事安排的啧啧啧，明天的獒龙结局可以下注了。。史无前例的大型离婚现场你无情你无义你无理取闹，还是离婚后发现情人还是老的好复婚吧一起赶紧的[doge][doge][喵喵][喵喵]	NULL	This arrangement of the gentlemen, tomorrow a dragon can bet on the outcome.. The large scene you heartless There was no parallel in history. divorce you nonsense you vexatious, or after divorce found lover or good old [doge][doge][to remarry it together. Meow meow.
2241945792	E8EklE83z	每个人都有自己的理由，不管活着还是死去。但愿每天都充满生的希望，而不是死的忧伤。	NULL	Everyone has their own reasons, whether alive or dead. I hope every day is full of hope, but not death.
2242212715	E8yL3yQwp	纪念我二十四年第一次爬到山顶的凤凰山之旅[绿叶]   .	NULL	To commemorate the first time I climbed to the top of the mountain in Lantau Peak, Tour [green leaves].
2242242682	E8zBkdxPi	废了废了  	NULL	To scrap
2242873677	E8hcJ8c0A	“The heart wants what it wants. ”	NULL	"Heart wants what it wants. The"
2243296230	E8TgabHgs	我分享了  的头条文章 	NULL	I share the headlines.
2243474802	E8JLW0NOC	看了妹妹的妹妹的微博，我来秀恩爱了，徐逗逗以前偷偷拍的皂片刚好今天发给我看了[doge]	NULL	Watch sister sister micro-blog, I came to show affection, Xu Doudou had secretly taken Zaopian just today sent to me [doge]
2243516473	E8JRPelOm	就像经历一场漫长的失恋 就像走过一部悲伤的电影 就像这样的年纪明明可以百毒不侵却偏偏一触即溃 就像感同身受一般看过海誓山盟也看过孤寂凄凉 最后的相信留给自己，愿青春不散，愿爱情永存，愿悲伤失忆，愿我认识的所有人都能幸福。 goodnight[月亮]	NULL	As the experience of a long love is like walking a sad movie like this age can be vulnerable to the attack but also generally seen as yichujikui feel desolate last seen exchange solemn vows and pledges to believe he obviously, may youth not scattered, willing to love forever, let all people sad memory, let me know the happiness. Goodnight[moon
2243648731	E8ISL74Rc	飽飽我們有乖乖回房看快本喔[嘻嘻]<br/>  	NULL	We have come back to the room full see as soon as this oh I want]<br/>
