1688978637	E5PsWoYOV	水逆真的开始了	NULL	The water inverse really began.
1688978637	E5o4TCyOn	他妈叫她不要点超过十块的 结果就吃十块的 气死 	NULL	His mother told her not to point more than ten results have ten pieces of piss
1689380012	E5FAMazHf	女神真的是哈[cc哎呦喂]哈，我只知道真相只有一个美貌与才能兼备啊	NULL	The goddess is really wow ha ha [cc], I only know that there is only one truth and beauty to both.
1689883451	E5N80d5a1	实号8899善于捕捉机[奥特曼]会的是俊杰。——歇德	NULL	8899, good at capturing the real machine [Altman] will be the hero. - Shedd
1689883451	E5nQM2vrW	实号8899学须志也，才须学也，非学无以广才，非志无以成学。—[衰]—诸葛亮	NULL	The real number 8899 to learn Sushi Ya, just have to learn also, not to learn without wide, not to learn. - [bad] - Zhu Geliang
1690004767	E5mrAk1DX	屋漏偏逢连夜雨～～～	NULL	It pours ~ ~ ~
1690004767	E5iSDCBtc	秋的气息 你的感觉	NULL	The smell of autumn you feel
1690178302	E5SccvzYx	贝微微这个角色，还是杨颖更适合，演的也不那么让人尴尬～尤其在34C这个点上[doge]	NULL	Bei slightly this role, or Angela Baby more suitable, the play is not so embarrassing to this point, especially in the [doge] 34C
1691024037	E5OLPkfJk	真事 刚接一电话 说是海通证券资产管理部的 问我近期有没有做过证券操作 我说没有 他沉默了三秒说 哦 那没有就没事了 我问 我都没有海通的证券户 你是从哪拿到的我的电话 他说 秘密 加我微信就告诉你 我就给挂了 五分钟后 [下]	NULL	True just answer a phone that Haitong Securities Asset Management Department recently asked if I have not done the securities operation I didn't say he was silent seconds said that it was fine. I didn't ask me not Haitong Securities account where did you get my phone he said I will tell you the secret with WeChat I to hang up after five minutes [down]
1691024037	E5llKgJXB	所有“绝不掉跟”的船袜承诺全都是泡沫只一刹的花火[拜拜][拜拜]	NULL	All "never fall with" socks all foam only promise I love bye bye [] []
1691429505	E5NkBbKoQ	🙊	NULL	🙊
